Question,Answer,Class
What is net banking ?,Facility offered by the bank that allows customers to use banking services over the internet. Customers need not visit their bank’s branch office to avail each and every small service.,banking mode
How do i register for netbanking ?,Please download and fill up the netbanking requisition form and submit it to your home branch.,banking mode
what are the features of netbanking ?what services can i avail using netbanking ?,"Check the account statement online,Open a fixed deposit account,Pay utility bills such as water bill and electricity bill,Make merchant payments,Transfer funds,Order for a cheque book,Buy general insurance and Recharge prepaid mobile/DTH.",banking mode
I am getting error in netbanking,Please contact our customer care executive or approach the closest branch,banking mode
What is mobile banking?,"Mobile banking is a service provided by our bank that allows our customers to conduct financial transactions remotely using a mobile device such as a smartphone or tablet. Unlike the related internet banking it uses software, usually called an app, provided by the the bank for the purpose.",banking mode
How do i register for mobile banking ?,Please download and fill up the mobile banking requisition form and submit it to your home branch.,banking mode
what are the features of mobile banking ?what services can i avail using mobile banking ?,"24-hour access to account balances, account history, and transactions,Secure mobile check deposit, using the smartphone camera,Bill payments,Loan payments,Money transfers,Security and fraud alerts and Travel services.",banking mode
I am getting error in mobile banking,Please contact our customer care executive or approach the closest branch,banking mode
What are the working days of banks?,"The bank is open all days from Monday to Saturday from 9am to 3pm ,with exceptions of public holidays, 2nd and 4th Saturdays.",general banking
Do you have a cash deposit machine?,Please visit the brach to deposit cash using our e-facility,general banking
Do you have the currency conversion facility ? ,All our bank Branches have the forex Exchange facility,general banking
What happens if there is a spelling mistake in my name printed on Aadhaar card?,Please do the rectification at UIDAI,general banking
For what purposes can I seek a first time home loan,"You can generally seek a first time home loan for buying a house or a flat, renovation, extension and repairs to your existing house. Most banks have a separate policy for those who are going for a second house. Please remember to seek specific clarifications on the above-mentioned issues from your commercial bank.",loans
What is an EMI?,You repay the loan in Equated Monthly Installments (EMIs) comprising both principal and interest. Repayment by way of EMI starts from the month following the month in which you take full disbursement.,loans
How does tenure affect cost of loan,"The longer the tenure of the loan, the lesser will be your monthly EMI outflow. Shorter tenures mean greater EMI burden, but your loan is repaid faster. If you have a short-term cash flow mismatch, your bank may increase the tenure of the loan, and your EMI burden comes down. But longer tenures mean payment of larger interest towards the loan and make it more expensive.",loans
Can education loans be availed from banks without collateral?,"RBI issued circular RPCD.SME&NFS.BC.No.69/06.12.05/2009-10 dated April 12, 2010, on Collateral Free Loans - Educational Loan Scheme, making it mandatory that banks must not obtain collateral security in the case of education loans upto ?4 lakh.",loans
What is CIBIL?,"Credit Information Bureau (India) Limited (CIBIL) is a credit bureau or credit information company, engaged in maintaining the records of all the credit-related activities of companies as well as individuals, including credit cards and loans.",loans
